sensor,image,method,active_fg_pct,interior_active_pct,components_per_10k_active,small_component_pct,largest_component_px
A,A/roll/png/00002446_A_roll_04.png,Sauvola,46.0942770027792,28.79617163261722,48.586313879295204,50.0,7166.0
A,A/roll/png/00002446_A_roll_04.png,Canny,19.252043927578857,0.0,120.88297126839522,46.666666666666664,1436.0
A,A/roll/png/00002455_A_roll_08.png,Sauvola,44.96431221646763,35.51959983666803,66.18347624880903,45.501285347043705,4112.0
A,A/roll/png/00002455_A_roll_08.png,Canny,12.168271915665139,0.0,211.24104111655978,51.48809523809524,414.0
A,A/roll/png/00002497_A_roll_01.png,Sauvola,45.925839410127764,40.08337111202026,36.267539446477734,54.26829268292683,49098.0
A,A/roll/png/00002497_A_roll_01.png,Canny,11.08498710162296,0.0,192.4045993861377,44.285714285714285,514.0
A,A/roll/png/00002541_A_roll_03.png,Sauvola,47.236209050022126,31.010481881995826,37.11345095807247,46.96485623003195,10205.0
A,A/roll/png/00002541_A_roll_03.png,Canny,17.46545611372178,0.0,160.34377705801236,45.8,1205.0
A,A/roll/png/00002550_A_roll_08.png,Sauvola,41.87995469988675,31.41037197283817,85.33141037197284,46.30281690140845,4894.0
A,A/roll/png/00002550_A_roll_08.png,Canny,10.802189505473764,0.0,152.0181722872619,55.93869731800766,937.0
A,A/roll/png/00002596_A_roll_09.png,Sauvola,46.318616798715055,32.22455342832998,40.796106885800036,40.0,8718.0
A,A/roll/png/00002596_A_roll_09.png,Canny,15.293768305686404,0.0,90.90106786691378,42.23300970873787,1223.0
A,A/roll/png/00002596_A_roll_10.png,Sauvola,46.98974082073434,32.44597657122794,39.73953844680648,55.02008032128514,11865.0
A,A/roll/png/00002596_A_roll_10.png,Canny,15.688744900407967,0.0,104.20650095602294,37.15596330275229,2092.0
A,A/roll/png/00002646_A_roll_07.png,Sauvola,44.01640624061685,35.949629589205564,54.29963027136172,48.994974874371856,12937.0
A,A/roll/png/00002646_A_roll_07.png,Canny,9.382544048233868,0.0,139.5289298515105,48.62385321100918,978.0
A,A/roll/png/00002646_A_roll_08.png,Sauvola,43.98540502715731,36.21797704574437,57.32250855418492,41.18942731277533,2940.0
A,A/roll/png/00002646_A_roll_08.png,Canny,10.700203263320413,0.0,125.08434110136503,53.11203319502075,1373.0
A,A/roll/png/00002650_A_roll_03.png,Sauvola,48.266607292224556,34.68357271095152,37.40275284260922,45.666666666666664,18028.0
A,A/roll/png/00002650_A_roll_03.png,Canny,17.53491758787317,0.0,155.11856961460586,51.32743362831859,1950.0
B,B/roll/png/00002312_B_roll_07.png,Sauvola,51.416482283000825,44.28443086874495,35.66615757793549,28.463476070528966,8955.0
B,B/roll/png/00002312_B_roll_07.png,Canny,19.988267193873074,0.0,137.9645036051026,45.22613065326633,1112.0
B,B/roll/png/00002368_B_roll_05.png,Sauvola,50.984832615255705,41.56284007373354,41.419592688831145,27.613941018766756,6869.0
B,B/roll/png/00002368_B_roll_05.png,Canny,20.05559675930906,0.0,131.8315266485998,41.32762312633833,695.0
B,B/roll/png/00002373_B_roll_04.png,Sauvola,49.72684026379038,37.65781018177184,38.86658838735516,21.07728337236534,2651.0
B,B/roll/png/00002373_B_roll_04.png,Canny,23.587241380871124,0.0,115.52041756217379,41.52823920265781,1029.0
B,B/roll/png/00002374_B_roll_03.png,Sauvola,51.34922997807671,48.42926417878979,23.894862604540023,31.985294117647058,9508.0
B,B/roll/png/00002374_B_roll_03.png,Canny,18.17423155691486,0.0,112.93405147807093,36.7032967032967,1597.0
B,B/roll/png/00002396_B_roll_07.png,Sauvola,48.317997091324266,40.463397938995,55.041398257803785,34.24190800681431,4531.0
